Pulse,Temp,Oxygen,Hydration,Healthy
32,103,82,121,1
42,101,78,39,1
41,106,71,37,1
45,101,80,64,1
33,102,75,123,1
28,100,78,166,1
40,106,75,4,1
49,101,89,8,1
40,105,80,34,1
46,105,81,86,1
27,104,78,95,1
38,104,88,172,1
22,106,78,83,1
40,105,85,20,1
25,105,88,58,1
34,108,84,105,1
46,106,76,119,1
36,107,86,84,1
26,102,89,65,1
24,99,75,24,1
23,103,83,177,1
48,108,71,167,1
28,105,84,227,1
28,103,89,236,1
202,101,85,148,1
189,102,71,138,1
216,104,85,157,1
215,107,85,27,1
218,104,83,143,1
218,101,77,229,1
201,101,78,186,1
206,102,72,139,1
182,100,70,137,1
188,102,78,113,1
182,108,78,106,1
203,101,78,177,1
202,101,71,14,1
216,108,77,234,1
189,104,73,161,1
209,102,75,2,1
201,100,77,82,1
190,102,86,326,1
192,105,76,281,1
210,106,70,333,1
219,103,82,285,1
216,104,85,326,1
210,108,83,299,1
186,102,86,306,1
185,104,87,335,1
211,99,82,341,1
180,103,73,258,1
192,99,79,294,1
211,108,89,340,1
181,100,87,284,1
209,108,89,284,1
202,108,71,251,1
200,99,77,349,1
187,105,84,305,1
208,106,74,315,1
204,101,72,342,1
188,100,88,306,1
191,105,75,337,1
194,103,78,321,1
204,108,81,252,1
182,102,89,348,1
196,102,87,294,1
203,99,75,343,1
201,101,84,258,1
206,101,74,271,1
190,104,82,298,1
188,104,76,324,1
216,100,81,299,1
191,103,72,343,1
186,105,85,309,1
186,107,70,338,1
186,106,74,337,1
191,100,80,272,1
193,102,85,282,1
184,104,71,272,1
215,103,89,332,1
191,101,80,308,1
184,101,89,339,1
216,103,85,250,1
220,101,78,329,1
189,99,77,272,1
195,106,85,313,1
211,104,87,258,1
203,99,74,279,1
196,105,71,275,1
204,103,85,289,1
198,103,75,269,1
203,107,71,256,1
180,107,85,325,1
220,103,86,327,1
205,99,78,282,1
197,99,76,287,1
187,105,80,251,1
212,108,78,316,1
209,103,85,324,1
186,106,73,302,1
219,99,72,270,1
195,107,89,283,1
207,105,82,250,1
197,103,74,283,1
190,108,86,278,1
217,102,80,344,1
207,103,77,336,1
217,108,82,319,1
189,99,77,338,1
214,100,84,320,1
205,108,74,267,1
180,108,77,317,1
193,99,87,274,1
185,104,83,342,1
205,105,88,350,1
209,99,87,297,1
211,101,81,299,1
220,100,81,301,1
202,106,77,263,1
185,101,77,338,1
198,99,79,332,1
212,108,81,350,1
184,93,72,328,1
207,91,78,315,1
198,90,80,330,1
199,92,70,257,1
188,90,73,281,1
214,94,80,315,1
47,95,81,338,1
12,92,79,251,1
10,93,73,335,1
39,93,89,281,1
7,95,84,250,1
40,96,84,295,1
47,96,77,287,1
34,93,88,340,1
30,92,80,327,1
39,90,75,298,1
